Sport,Country,League Name,Year,Gender,Champion,Number of Games,Number of Teams,Coeficiente Phi,Quantidade de equipes retiradas,Perc. Equipes Retiradas,Equipes Retiradas
soccer,Australia,A-League,2011,men,Brisbane Roar,165,11,0.7473,3,27.27%,"+Brisbane Roar,+Central Coast Mariners,+Adelaide United"
soccer,Australia,A-League,2012,men,Central Coast Mariners,135,10,0.5349,1,10.00%,-Gold Coast
soccer,Australia,A-League,2013,men,WS Wanderers,135,10,0.5938,1,10.00%,+WS Wanderers
soccer,Australia,A-League,2014,men,Brisbane Roar,135,10,0.3145,0,0.00%,-
soccer,Australia,A-League,2015,men,Melbourne Victory,135,10,0.7547,3,30.00%,"-Newcastle Jets,-WS Wanderers,-Central Coast Mariners"
soccer,Australia,A-League,2016,men,Adelaide United,135,10,0.6697,1,10.00%,-Central Coast Mariners
soccer,Austria,Bundesliga,2007,men,Salzburg,180,10,0.6408,1,10.00%,+Salzburg
soccer,Austria,Bundesliga,2008,men,Rapid Vienna,180,10,0.7216,3,30.00%,"+Rapid Vienna,-Wacker Innsbruck,-Altach"
soccer,Austria,Bundesliga,2009,men,Salzburg,180,10,0.7864,3,30.00%,"+Salzburg,+Rapid Vienna,+Austria Vienna"
soccer,Austria,Bundesliga,2010,men,Salzburg,180,10,0.8626,4,40.00%,"-A- Klagenfurt,+Austria Vienna,+Salzburg,+Rapid Vienna"
soccer,Austria,Bundesliga,2011,men,Sturm Graz,180,10,0.7425,2,20.00%,"-LASK Linz,-Mattersburg"
soccer,Austria,Bundesliga,2012,men,Salzburg,180,10,0.7180,2,20.00%,"-Kapfenberg,-Neustadt"
soccer,Austria,Bundesliga,2013,men,Austria Vienna,180,10,0.7878,2,20.00%,"+Austria Vienna,+Salzburg"
soccer,Austria,Bundesliga,2014,men,Salzburg,180,10,0.7053,1,10.00%,+Salzburg
soccer,Austria,Bundesliga,2015,men,Salzburg,180,10,0.7140,1,10.00%,+Salzburg
soccer,Austria,Bundesliga,2016,men,Salzburg,180,10,0.6295,1,10.00%,+Salzburg
soccer,Azerbaijan,Premier League,2007,men,Khazar Lenkoran,156,13,0.8369,6,46.15%,"+Khazar Lenkoran,+Neftci Baku,+FK Baku,-Sahdag Qusar,+Inter Baku,+Mil-Mugan"
soccer,Azerbaijan,Premier League,2008,men,Inter Baku,182,14,0.8217,6,42.86%,"-ABN Barda,-Ganclarbirliyi Sumqayit,-Turan,+AZAL PFK,+Neftci Baku,+Inter Baku"
soccer,Azerbaijan,Premier League,2009,men,FK Baku,182,14,0.8540,5,35.71%,"-MOIK Baku,-Bakili Baku,-Salyan,+FK Baku,+Inter Baku"
soccer,Azerbaijan,Premier League,2010,men,Inter Baku,132,12,0.7983,5,41.67%,"+Inter Baku,-Karvan,-Standard Sumqayit,-Salyan,-Turan"
soccer,Azerbaijan,Premier League,2014,men,Qarabag,180,10,0.8114,4,40.00%,"-Ravan,-SumQayit,+Qarabag,-AZAL PFK"
soccer,Azerbaijan,Premier League,2015,men,Qarabag,154,10,0.8829,3,30.00%,"-Araz,-FK Baku,+Qarabag"
soccer,Azerbaijan,Premier League,2016,men,Qarabag,180,10,0.8477,3,30.00%,"+Qarabag,-Khazar Lenkoran,-Ravan"
soccer,Bahrain,Premier League,2007,men,Al-Muharraq,132,12,0.6652,1,8.33%,+Al-Muharraq
soccer,Bahrain,Premier League,2008,men,Al-Muharraq,132,12,0.6561,1,8.33%,+Al-Muharraq
soccer,Bahrain,Premier League,2010,men,Al-Ahli Manama,90,10,0.7312,2,20.00%,"+Al-Ahli Manama,+Al Riffa"
soccer,Bahrain,Premier League,2013,men,Busaiteen,90,10,0.7828,3,30.00%,"+Busaiteen,+Al-Muharraq,+Al-Hadd"
soccer,Bahrain,Premier League,2014,men,Al Riffa,90,10,0.7683,2,20.00%,"-Sitra,+Al Riffa"
soccer,Bahrain,Premier League,2015,men,Al-Muharraq,90,10,0.7358,3,30.00%,"-Al-Shabbab,-Bahrain SC,-Malkia"
soccer,Bahrain,Premier League,2016,men,Al-Hadd,90,10,0.4187,0,0.00%,-
soccer,Belarus,Vysshaya Liga,2007,men,BATE,182,14,0.6068,3,21.43%,"+BATE,-FC Minsk,+Shakhtyor Soligorsk"
soccer,Belarus,Vysshaya Liga,2008,men,BATE,240,16,0.7519,4,25.00%,"+BATE,+Din- Minsk,+Partizan Minsk,-Darida"
soccer,Belarus,Vysshaya Liga,2009,men,BATE,182,14,0.6142,1,7.14%,+BATE
soccer,Belarus,Vysshaya Liga,2010,men,BATE,198,12,0.7707,3,25.00%,"+BATE,+Shakhtyor Soligorsk,+FC Minsk"
soccer,Belarus,Vysshaya Liga,2011,men,BATE,198,12,0.6188,1,8.33%,+BATE
soccer,Belarus,Vysshaya Liga,2012,men,BATE,165,11,0.7826,3,27.27%,"+BATE,+Shakhtyor Soligorsk,+Din- Minsk"
soccer,Belarus,Vysshaya Liga,2015,men,BATE,182,14,0.7530,3,21.43%,"+BATE,+Din- Minsk,+Shakhtyor Soligorsk"
soccer,Belgium,Jupiler League,2007,men,Anderlecht,306,18,0.7740,4,22.22%,"+Anderlecht,+Genk,+St- Liege,-Beveren"
soccer,Belgium,Jupiler League,2008,men,St. Liege,306,18,0.7553,4,22.22%,"+St- Liege,+Anderlecht,+Club Brugge KV,+Cercle Brugge KSV"
soccer,Belgium,Jupiler League,2009,men,St. Liege,306,18,0.7488,3,16.67%,"+Anderlecht,+St- Liege,-Mons"
soccer,Belgium,Jupiler League,2010,men,Anderlecht,210,15,0.7456,3,20.00%,"+Anderlecht,+Club Brugge KV,-KSV Roeselare"
soccer,Belgium,Jupiler League,2011,men,Anderlecht,240,16,0.7775,5,31.25%,"+Anderlecht,+Genk,+Gent,-Charleroi,-Lierse"
soccer,Belgium,Jupiler League,2012,men,Anderlecht,240,16,0.7569,6,37.50%,"+Anderlecht,+Club Brugge KV,+Gent,-St- Truiden,+St- Liege,-Westerlo"
soccer,Belgium,Jupiler League,2013,men,Anderlecht,240,16,0.7607,4,25.00%,"-Cercle Brugge KSV,+Anderlecht,+Waregem,+Genk"
soccer,Belgium,Jupiler League,2014,men,St. Liege,240,16,0.7207,3,18.75%,"+St- Liege,+Club Brugge KV,+Anderlecht"
soccer,Belgium,Jupiler League,2015,men,Club Brugge KV,240,16,0.7018,3,18.75%,"+Club Brugge KV,-Lierse,+Anderlecht"
soccer,Belgium,Jupiler League,2016,men,Club Brugge KV,240,16,0.5978,1,6.25%,+Club Brugge KV
soccer,Bosnia and Herzegovina,Premier League,2007,men,FK Sarajevo,240,16,0.4808,1,6.25%,-Radnik Bijeljina
soccer,Bosnia and Herzegovina,Premier League,2008,men,Modrica,240,16,0.7483,1,6.25%,-NK Zepce
soccer,Bosnia and Herzegovina,Premier League,2009,men,Zrinjski,240,16,0.5662,1,6.25%,-Posusje
soccer,Bosnia and Herzegovina,Premier League,2010,men,Zeljeznicar,240,16,0.5507,2,12.50%,"+Zeljeznicar,-Modrica"
soccer,Bosnia and Herzegovina,Premier League,2011,men,Borac Banja Luka,240,16,0.6106,2,12.50%,"+Borac Banja Luka,+FK Sarajevo"
soccer,Bosnia and Herzegovina,Premier League,2012,men,Zeljeznicar,240,16,0.7547,3,18.75%,"+Zeljeznicar,+Siroki Brijeg,-Kozara"
soccer,Bosnia and Herzegovina,Premier League,2013,men,Zeljeznicar,240,16,0.7452,2,12.50%,"-Gradina Srebrenik,+Zeljeznicar"
soccer,Bosnia and Herzegovina,Premier League,2014,men,Zrinjski,240,16,0.7759,4,25.00%,"-Leotar,+Zrinjski,+Siroki Brijeg,+FK Sarajevo"
soccer,Bosnia and Herzegovina,Premier League,2015,men,FK Sarajevo,240,16,0.7828,4,25.00%,"+FK Sarajevo,+Zeljeznicar,+Zrinjski,+Siroki Brijeg"
soccer,Bosnia and Herzegovina,Premier League,2016,men,Zrinjski,240,16,0.8082,5,31.25%,"-Velez Mostar,+Zrinjski,+Siroki Brijeg,+Sloboda,-Drina Zvornik"
soccer,Brazil,Serie A,2007,men,Sao Paulo,380,20,0.5555,1,5.00%,-America RN
soccer,Brazil,Serie A,2008,men,Sao Paulo,380,20,0.5604,2,10.00%,"+Sao Paulo,+Cruzeiro"
soccer,Brazil,Serie A,2009,men,Flamengo RJ,380,20,0.3776,0,0.00%,-
soccer,Brazil,Serie A,2010,men,Fluminense,380,20,0.6009,3,15.00%,"-Barueri,+Fluminense,+Cruzeiro"
soccer,Brazil,Serie A,2011,men,Corinthians,380,20,0.4934,1,5.00%,-Avai
soccer,Brazil,Serie A,2012,men,Fluminense,380,20,0.6487,3,15.00%,"+Fluminense,-Atletico GO,-Figueirense"
soccer,Brazil,Serie A,2013,men,Cruzeiro,380,20,0.5754,1,5.00%,-Nautico
soccer,Brazil,Serie A,2014,men,Cruzeiro,380,20,0.6648,3,15.00%,"+Cruzeiro,+Internacional,-Criciuma"
soccer,Brazil,Serie A,2015,men,Corinthians,380,20,0.5823,1,5.00%,+Corinthians
soccer,Brazil,Serie B,2007,men,Coritiba,380,20,0.3039,0,0.00%,-
soccer,Brazil,Serie B,2008,men,Corinthians,380,20,0.6733,2,10.00%,"+Corinthians,-CRB"
soccer,Brazil,Serie B,2009,men,Vasco,380,20,0.4790,1,5.00%,+Vasco
soccer,Brazil,Serie B,2010,men,Coritiba,380,20,0.1936,0,0.00%,-
soccer,Brazil,Serie B,2011,men,Portuguesa,380,20,0.6771,3,15.00%,"-Duque de Caxias,+Portuguesa,-Salgueiro"
soccer,Brazil,Serie B,2012,men,Goias,380,20,0.6910,4,20.00%,"+Goias,-Barueri,+Criciuma,+Sao Caetano"
soccer,Brazil,Serie B,2013,men,Palmeiras,380,20,0.5374,1,5.00%,+Palmeiras
soccer,Brazil,Serie B,2014,men,Joinville,380,20,0.5426,1,5.00%,-Portuguesa
soccer,Brazil,Serie B,2015,men,Botafogo RJ,380,20,0.6703,3,15.00%,"-Mogi Mirim,-ABC,-Boa"
soccer,Bulgaria,A PFG,2007,men,Levski,240,16,0.8689,5,31.25%,"-Chernomorets Burgas Sofia,+Levski,+CSKA Sofia,+Lok- Sofia,+Litex Lovech"
soccer,Bulgaria,A PFG,2008,men,CSKA Sofia,240,16,0.8313,5,31.25%,"+CSKA Sofia,+Levski,-Vidima-Rakovski,-Marek,-Petrich"
soccer,Bulgaria,A PFG,2009,men,Levski,240,16,0.7904,4,25.00%,"+Levski,+CSKA Sofia,-Petrich,+Cherno More"
soccer,Bulgaria,A PFG,2010,men,Litex Lovech,240,16,0.7939,4,25.00%,"-Botev Plovdiv,+Litex Lovech,-Svoge,-Mezdra"
soccer,Bulgaria,A PFG,2011,men,Litex Lovech,240,16,0.8312,5,31.25%,"+Litex Lovech,+Levski,+CSKA Sofia,+Lok- Sofia,+Cherno More"
soccer,Bulgaria,A PFG,2012,men,Ludogorets,240,16,0.8785,8,50.00%,"-Svetkavitsa,-Kaliakra,-Vidima-Rakovski,+Ludogorets,+CSKA Sofia,+Levski,+Litex Lovech,+Chernomorets Burgas"
soccer,Bulgaria,A PFG,2013,men,Ludogorets,240,16,0.8368,6,37.50%,"+Ludogorets,+Levski,+CSKA Sofia,+Botev Plovdiv,-Montana,-Etar"
soccer,Bulgaria,A PFG,2014,men,Ludogorets,182,14,0.8030,4,28.57%,"-Neftochimic Burgas,-Gotse Delchev,-Lyubimets 2007,-Chernomorets Burgas"
soccer,Bulgaria,A PFG,2015,men,Ludogorets,132,12,0.7494,3,25.00%,"-Haskovo,-Marek,-Lok- Plovdiv"
soccer,Bulgaria,A PFG,2016,men,Ludogorets,164,10,0.8103,4,40.00%,"+Ludogorets,+Levski,+Beroe,-Montana"
soccer,Canada,CSL,2010,men,York Region,156,13,0.6362,2,15.38%,"-St- Catharines,-Hamilton City"
soccer,Canada,CSL,2014,men,York Region,90,10,0.5694,1,10.00%,+York Region
soccer,Canada,CSL,2015,men,Serbian W. E.,132,12,0.6822,2,16.67%,"-Niagara,+Serbian W- E-"
soccer,China,Super League,2007,men,Changchun Yatai,210,15,0.6645,3,20.00%,"+Changchun Yatai,+Beijing Guoan,+Shandong Luneng"
soccer,China,Super League,2008,men,Shandong Luneng,240,16,0.8222,5,31.25%,"-Wuhan Zall,+Shandong Luneng,+Shanghai Shenhua,+Beijing Guoan,+Tianjin Teda"
soccer,China,Super League,2009,men,Beijing Guoan,240,16,0.0719,0,0.00%,-
soccer,China,Super League,2010,men,Shandong Luneng,240,16,0.4683,1,6.25%,+Shandong Luneng
soccer,China,Super League,2011,men,Guangzhou Evergrande,240,16,0.6494,1,6.25%,+Guangzhou Evergrande
soccer,China,Super League,2012,men,Guangzhou Evergrande,240,16,0.3637,0,0.00%,-
soccer,China,Super League,2013,men,Guangzhou Evergrande,240,16,0.7437,2,12.50%,"+Guangzhou Evergrande,-Wuhan Zall"
soccer,China,Super League,2014,men,Guangzhou Evergrande,240,16,0.7432,2,12.50%,"+Guangzhou Evergrande,+Beijing Guoan"
soccer,China,Super League,2015,men,Guangzhou Evergrande,240,16,0.7607,4,25.00%,"+Guangzhou Evergrande,+Shanghai SIPG,+Shandong Luneng,+Beijing Guoan"
soccer,Croatia,HNL,2007,men,D. Zagreb,198,12,0.8645,3,25.00%,"+D- Zagreb,+Hajduk Split,-NK Kamen Ingrad"
soccer,Croatia,HNL,2008,men,D. Zagreb,198,12,0.8114,2,16.67%,"+D- Zagreb,-NK Medjimurje Cakovec"
soccer,Croatia,HNL,2009,men,D. Zagreb,198,12,0.7583,3,25.00%,"+D- Zagreb,+Hajduk Split,-Croatia Sesvete"
soccer,Croatia,HNL,2010,men,D. Zagreb,240,16,0.6899,2,12.50%,"-Croatia Sesvete,+D- Zagreb"
soccer,Croatia,HNL,2011,men,D. Zagreb,240,16,0.6315,1,6.25%,+D- Zagreb
soccer,Croatia,HNL,2012,men,D. Zagreb,240,16,0.7735,3,18.75%,"+D- Zagreb,-Varazdin,-Karlovac"
soccer,Croatia,HNL,2013,men,D. Zagreb,198,12,0.7199,2,16.67%,"+D- Zagreb,-NK Zagreb"
soccer,Croatia,HNL,2014,men,D. Zagreb,180,10,0.8238,3,30.00%,"+D- Zagreb,+Rijeka,+Hajduk Split"
soccer,Croatia,HNL,2015,men,D. Zagreb,180,10,0.8296,2,20.00%,"+D- Zagreb,+Rijeka"
soccer,Croatia,HNL,2016,men,D. Zagreb,180,10,0.8796,4,40.00%,"+D- Zagreb,+Rijeka,-NK Zagreb,-Istra 1961"
soccer,Czech Republic,Gambrinus Liga,2007,men,Sparta Prague,240,16,0.7743,5,31.25%,"+Sparta Prague,+Slavia Prague,+Mlada Boleslav,+Liberec,-Slovacko"
soccer,Czech Republic,Gambrinus Liga,2008,men,Slavia Prague,240,16,0.6862,3,18.75%,"-Mostecky FK,-Bohemians 1905,+Slavia Prague"
soccer,Czech Republic,Gambrinus Liga,2009,men,Slavia Prague,240,16,0.6044,2,12.50%,"+Slavia Prague,+Sparta Prague"
soccer,Czech Republic,Gambrinus Liga,2010,men,Sparta Prague,240,16,0.7289,3,18.75%,"-Bohemians Prague,-Kladno,+Sparta Prague"
soccer,Czech Republic,Gambrinus Liga,2011,men,Plzen,240,16,0.7594,3,18.75%,"+Plzen,+Sparta Prague,+Jablonec"
soccer,Czech Republic,Gambrinus Liga,2012,men,Liberec,240,16,0.7269,3,18.75%,"+Liberec,+Plzen,+Sparta Prague"
soccer,Czech Republic,Gambrinus Liga,2013,men,Plzen,240,16,0.6958,3,18.75%,"+Plzen,+Sparta Prague,+Liberec"
soccer,Czech Republic,Gambrinus Liga,2014,men,Sparta Prague,240,16,0.7655,2,12.50%,"+Sparta Prague,+Plzen"
soccer,Czech Republic,Gambrinus Liga,2015,men,Plzen,240,16,0.7595,3,18.75%,"+Plzen,+Sparta Prague,+Jablonec"
soccer,Czech Republic,Gambrinus Liga,2016,men,Plzen,240,16,0.8040,4,25.00%,"+Plzen,+Sparta Prague,-Ostrava,+Mlada Boleslav"
soccer,Denmark,Superliga,2007,men,FC Copenhagen,198,12,0.8164,5,41.67%,"+FC Copenhagen,+Midtjylland,+Aalborg,+Nordsjaelland,+Odense"
soccer,Denmark,Superliga,2008,men,Aalborg,198,12,0.7996,3,25.00%,"-Lyngby,-Viborg,-Aarhus"
soccer,Denmark,Superliga,2009,men,FC Copenhagen,198,12,0.8304,4,33.33%,"+FC Copenhagen,+Brondby,+Odense,+Midtjylland"
soccer,Denmark,Superliga,2010,men,FC Copenhagen,198,12,0.5965,1,8.33%,-Koge
soccer,Denmark,Superliga,2011,men,FC Copenhagen,198,12,0.7107,1,8.33%,+FC Copenhagen
soccer,Denmark,Superliga,2012,men,Nordsjaelland,198,12,0.7473,4,33.33%,"-Koge,-Lyngby,+Nordsjaelland,+FC Copenhagen"
soccer,Denmark,Superliga,2013,men,FC Copenhagen,198,12,0.4539,0,0.00%,-
soccer,Denmark,Superliga,2014,men,Aalborg,198,12,0.4906,0,0.00%,-
soccer,Denmark,Superliga,2015,men,Midtjylland,198,12,0.7603,2,16.67%,"-Silkeborg,+Midtjylland"
soccer,Denmark,Superliga,2016,men,FC Copenhagen,198,12,0.7259,2,16.67%,"-Hobro,+FC Copenhagen"
soccer,Egypt,Premier League,2007,men,Al Ahly,240,16,0.8098,3,18.75%,"+Al Ahly,+Zamalek,+El Ismaily"
soccer,Egypt,Premier League,2008,men,Al Ahly,240,16,0.7139,3,18.75%,"+Al Ahly,-Suez Cement,+Zamalek"
soccer,Egypt,Premier League,2009,men,Al Ahly,240,16,0.6692,2,12.50%,"+Al Ahly,+El Ismaily"
soccer,Egypt,Premier League,2010,men,Al Ahly,240,16,0.6859,3,18.75%,"+Al Ahly,-Asyut Petroleum,-El Mansoura"
soccer,Egypt,Premier League,2011,men,Al Ahly,240,16,0.5801,1,6.25%,+Al Ahly
soccer,Egypt,Premier League,2015,men,Zamalek,380,20,0.8044,4,20.00%,"-Alaab Damanhour,+Zamalek,-Alassiouty,+Al Ahly"
soccer,Egypt,Premier League,2016,men,Al Ahly,306,18,0.7885,4,22.22%,"-Ghazl El Mahallah,+Al Ahly,-Haras El Hodood,+Zamalek"
soccer,England,Premier League,2007,men,Manchester United,380,20,0.7561,3,15.00%,"+Manchester United,+Chelsea,+Liverpool"
soccer,England,Premier League,2008,men,Manchester United,380,20,0.8414,6,30.00%,"-Derby,+Manchester United,+Arsenal,+Chelsea,+Liverpool,+Everton"
soccer,England,Premier League,2009,men,Manchester United,380,20,0.8102,4,20.00%,"+Manchester United,+Chelsea,+Liverpool,+Arsenal"
soccer,England,Premier League,2010,men,Chelsea,380,20,0.8192,9,45.00%,"+Chelsea,+Manchester United,+Arsenal,+Tottenham,-Burnley,+Manchester City,+Aston Villa,+Liverpool,-Wigan"
soccer,England,Premier League,2011,men,Manchester United,380,20,0.6461,2,10.00%,"+Manchester United,+Manchester City"
soccer,England,Premier League,2012,men,Manchester City,380,20,0.7878,5,25.00%,"+Manchester City,+Manchester United,+Tottenham,+Arsenal,+Newcastle Utd"
soccer,England,Premier League,2013,men,Manchester United,380,20,0.8079,5,25.00%,"+Manchester United,+Manchester City,+Arsenal,+Chelsea,+Tottenham"
soccer,England,Premier League,2014,men,Manchester City,380,20,0.8179,7,35.00%,"+Manchester City,+Liverpool,+Arsenal,+Tottenham,+Everton,+Chelsea,+Manchester United"
soccer,England,Premier League,2015,men,Chelsea,380,20,0.7590,4,20.00%,"+Chelsea,+Manchester City,+Arsenal,+Manchester United"
soccer,England,Premier League,2016,men,Leicester,380,20,0.7384,4,20.00%,"-Aston Villa,+Leicester,+Tottenham,+Manchester City"
soccer,Estonia,Meistriliiga,2007,men,Levadia,180,10,0.9213,5,50.00%,"-Lasnamae,-Kuressaare,-Parnu,-Tulevik,-Tallinna Kalev"
soccer,Estonia,Meistriliiga,2008,men,Levadia,180,10,0.9008,5,50.00%,"+Levadia,+Flora,-Parnu,-Tammeka,-Tallinna Kalev"
soccer,Estonia,Meistriliiga,2009,men,Levadia,180,10,0.9131,7,70.00%,"+Levadia,-Tallinna Kalev,+Sillamae,+Narva,+Flora,+Kalju,+Tulevik"
soccer,Estonia,Meistriliiga,2010,men,Flora,180,10,0.9061,5,50.00%,"+Flora,+Levadia,+Narva,+Kalju,+Sillamae"
soccer,Estonia,Meistriliiga,2011,men,Flora,180,10,0.9073,5,50.00%,"-Lasnamae,+Flora,+Kalju,+Levadia,+Narva"
soccer,Estonia,Meistriliiga,2012,men,Kalju,180,10,0.9143,5,50.00%,"+Kalju,+Levadia,+Flora,+Narva,+Sillamae"
soccer,Estonia,Meistriliiga,2013,men,Levadia,180,10,0.8979,5,50.00%,"-Kuressaare,+Levadia,+Kalju,+Sillamae,+Flora"
soccer,Estonia,Meistriliiga,2014,men,Levadia,179,10,0.9190,5,50.00%,"-Tallinna Kalev,-Johvi Lokomotiv,-Narva,-Tammeka,-Paide"
soccer,Estonia,Meistriliiga,2015,men,Flora,180,10,0.8737,5,50.00%,"+Flora,+Levadia,+Infonet,+Kalju,+Sillamae"
soccer,Finland,Veikkausliiga,2007,men,Tampere Utd,182,14,0.4930,1,7.14%,+Tampere Utd
soccer,Finland,Veikkausliiga,2008,men,Inter Turku,182,14,0.7278,2,14.29%,"-KooTeePee,-KuPS"
soccer,Finland,Veikkausliiga,2009,men,HJK,182,14,0.6708,3,21.43%,"-JJK Jyvaskyla,-Rovaniemi,+HJK"
soccer,Finland,Veikkausliiga,2010,men,HJK,182,14,0.2998,0,0.00%,-
